cid,cid_geom
OGAA470,POINT(-100.4434167192022 40.2142483310898)
OGAA436,POINT(-100.7691742785836 40.38416565857077)
WIMB145,POINT(-89.13499607942751 44.01746786436442)
WIMB786,POINT(-88.01216993433368 43.01221885110549)
OGAA051,POINT(-99.37952106889725 41.14300253768261)
OGAA136,POINT(-97.72993409598328 40.62661288710033)
OGAA229,POINT(-101.8327990106105 42.52600314437463)
OGAA295,POINT(-98.41438612198017 41.40546002712744)
WIMB139,POINT(-88.17605733205676 43.57125710662465)
WIMB132,POINT(-88.25205865496496 44.49053423051696)
OGAA250,POINT(-99.1973055894683 41.16148166849753)
OGAA463,POINT(-102.6352823956042 41.73517392453797)
OGAA332,POINT(-99.47388111305355 42.80982468026015)
OGAA379,POINT(-96.82238340636754 40.05186588862404)
OGAA202,POINT(-97.98115914816749 41.16061665282492)
OGAA092,POINT(-99.63429544678691 41.210874492535)
OGAA259,POINT(-99.52417420161937 42.64395778283194)
OGAA034,POINT(-99.10718222136691 41.73055249587933)
OGAA208,POINT(-99.49381223299629 41.2387186698939)
OGAA335,POINT(-97.68284168250041 41.79107384704663)
OGAA467,POINT(-99.98816103264147 40.70440838873742)
OGAA401,POINT(-101.5094252364997 40.10611985439071)
OGAA048,POINT(-101.1788761923387 40.2240661198101)
OGAA049,POINT(-101.211691267241 40.34218103928664)
WIMB778,POINT(-88.58128510949247 43.62739120230604)
WIMB124,POINT(-89.02131402351888 45.91390627649114)
OGAA041,POINT(-101.0304980805218 40.61597596852405)
OGAA459,POINT(-98.78465341584756 40.18005727038565)
OGAA260,POINT(-100.6463797076588 40.04469003101495)
OGAA011,POINT(-98.84387141130416 42.24955406708203)
WIMB514,POINT(-88.38616087035733 42.93600463564509)
WIMB437,POINT(-88.97094692306568 44.54673597867769)
OGAA464,POINT(-97.95606938257738 41.40452553946447)
OGAA326,POINT(-98.41905674516056 41.84513186237054)
OGAA058,POINT(-101.2727007613295 41.35298064236562)
OGAA093,POINT(-99.05519065713206 40.73606427769204)
OGAA142,POINT(-103.904544096828 42.45016251831446)
WIMB120,POINT(-89.26648702707774 45.40682003072747)
WIMB776,POINT(-88.69602062650037 43.55638203200455)
OGAA406,POINT(-98.95368335738846 42.30331917677026)
OGAA302,POINT(-100.0332475068623 41.03726893014264)
OGAA067,POINT(-101.9731956520955 40.80710434356844)
OGAA345,POINT(-100.9115286701903 41.38656134356772)
OGAA137,POINT(-101.4972930734693 41.15211223692288)
OGAA032,POINT(-99.9163905419555 40.41253024367025)
OGAA364,POINT(-100.9796337870793 40.79916662769503)
OGAA324,POINT(-100.351369007989 42.49122434415136)
WIMB118,POINT(-88.86816735370867 43.48314684306921)
WIMB112,POINT(-88.67422907268423 42.67334295224614)
OGAA298,POINT(-103.1015583764596 42.41159440908779)
OGAA284,POINT(-103.3836759261773 42.47745554539871)
OGAA072,POINT(-103.3709827071141 41.26371463628684)
OGAA166,POINT(-103.6319846894255 41.53337807615805)
OGAA331,POINT(-99.51489239337629 40.50547004482558)
OGAA474,POINT(-98.2329346085462 42.41751843549727)
OGAA146,POINT(-99.75859976433536 41.66686850061483)
WIMB435,POINT(-88.6558071413443 44.51008707846724)
WIMB109,POINT(-87.94629369058502 44.40077792838164)
OGAA299,POINT(-96.76940606990239 40.98562025583559)
OGAA301,POINT(-96.9017940873439 40.22661889196358)
OGAA305,POINT(-97.28336322344626 40.26980596821637)
OGAA306,POINT(-98.26800312315392 40.86551776016206)
WIMB775,POINT(-88.19118382870244 44.05958383954452)
WIMB770,POINT(-89.3405080623221 45.31232910117217)
OGAA312,POINT(-98.23104950552721 41.87604771674738)
OGAA316,POINT(-98.29176638853087 42.26595429500585)
OGAA317,POINT(-98.4689826569105 42.71055752967168)
WIMB431,POINT(-89.28795950563573 45.12529168257938)
WIMB212,POINT(-88.32834540638403 42.87206555037556)
WIMB213,POINT(-88.34756704612715 44.00507838008027)
WIMB214,POINT(-88.87015611064284 42.73446059108436)
WIMB217,POINT(-88.0497415418278 43.67159850776898)
WIMB218,POINT(-88.09099287491131 43.48931893240393)
WIMB763,POINT(-88.59513607988634 44.08277117091771)
WIMB222,POINT(-88.0270412472571 42.74070381744437)
WIMB200,POINT(-88.36281113051093 43.91107727002807)
OGAA321,POINT(-100.3676936694225 41.45489309408423)
OGAA322,POINT(-100.4618457639871 40.07933021213211)
OGAA323,POINT(-96.89801846221405 40.12747548940248)
WIMB521,POINT(-89.48014221812385 46.09546221285188)
HOUA192,POINT(-95.4764557620427 30.61426302538326)
HOUA191,POINT(-95.5223674172309 30.23376730214453)
HOUA190,POINT(-95.33523654644432 29.9027563903954)
HOUA188,POINT(-95.40164899321336 29.9956976209886)
HOUA187,POINT(-95.36135314522757 29.74519203607757)
HOUA186,POINT(-95.34725610804611 29.78867054165806)
HOUA185,POINT(-95.25050928585948 30.35424468306723)
HOUA183,POINT(-95.56046296409143 30.06441433163283)
HOUA182,POINT(-95.49062270542365 29.67840944154146)
WIMB226,POINT(-87.88608974275068 43.09034252843818)
WIMB524,POINT(-89.41063055391847 44.33816746233187)
OGAA333,POINT(-97.05845042290228 40.12790982202143)
OGAA338,POINT(-97.63752167652335 40.29697636111656)
OGAA339,POINT(-98.37140369383506 40.00978735304519)
OGAA341,POINT(-98.95366789985394 42.33754290744179)
WIMB229,POINT(-87.93452297112773 43.1164608888682)
WIMB756,POINT(-89.87515528059653 46.01983838678174)
OGAA342,POINT(-98.79945753676246 40.11297727086894)
OGAA344,POINT(-96.96300795102218 40.25210666493136)
OGAA350,POINT(-97.20610831360382 40.93654120871028)
OGAA352,POINT(-98.39443220335491 40.07602906922035)
WIMB750,POINT(-89.79780014609989 45.61239898235372)
WIMB528,POINT(-88.26948483488576 44.24920133645603)
OGAA353,POINT(-98.56582944218289 42.02555583531061)
OGAA354,POINT(-99.36765731734243 42.88621438599888)
OGAA358,POINT(-102.561773479987 41.61510766447414)
OGAA362,POINT(-97.14510336377724 40.86375575018673)
WIMB079,POINT(-88.19131043302086 42.5165299815524)
WIMB339,POINT(-89.45222217826786 44.18356034323126)
OGAA363,POINT(-96.7103697872752 40.69740857982484)
OGAA366,POINT(-97.7104895503724 40.83880088521515)
OGAA368,POINT(-97.95156689490081 40.09493631195278)
OGAA370,POINT(-98.26183363274734 42.53032174021313)
WIMB790,POINT(-88.30211513857583 45.44905923348934)
WIMB182,POINT(-89.36428770142872 44.7541114047724)
OGAA371,POINT(-96.81400038093787 40.80557071781073)
OGAA374,POINT(-97.91657643358889 40.10141135385253)
OGAA389,POINT(-96.68506274095095 40.64554071589276)
OGAA144,POINT(-103.1194350907232 41.88317582722028)
WIMB512,POINT(-88.45862704761745 42.89592152011792)
WIMB195,POINT(-87.28803925709671 45.05441002945843)
OGAA004,POINT(-97.50656297881035 40.92550274657709)
OGAA003,POINT(-96.84908573249506 40.7225243918763)
OGAA130,POINT(-97.5192412298014 40.34129091546345)
WIMB166,POINT(-88.77581812476521 45.52580991048957)
WIMB491,POINT(-88.3439271847757 45.32326200025311)
WIMB315,POINT(-88.51072049452148 44.37845265152741)
WIMB417,POINT(-88.04553807357938 44.31438765796955)
WIMB733,POINT(-87.90744747115616 45.11754780876968)
WIMB677,POINT(-88.82254393831555 43.99168049449839)
WIMB252,POINT(-88.19794899734599 45.02900980227646)
WIMB594,POINT(-88.70998861106519 44.34001758396345)
WIMB382,POINT(-88.20598252808455 43.28858921826786)
WIMB039,POINT(-89.06392709346144 44.89946477156985)
WIMB761,POINT(-88.65514642503723 45.05933674233135)
WIMB188,POINT(-89.43202612601286 46.13505415064761)
OGAA460,POINT(-96.72823612482767 40.80472589733192)
OGAA458,POINT(-96.59789207199721 40.7502791059821)
OGAA455,POINT(-99.30310044191704 42.42520386108676)
OGAA453,POINT(-96.98032807852418 41.06171973545408)
HOUA180,POINT(-95.7050251351947 29.73121773148402)
WIMB076,POINT(-88.2386622128343 42.50631908894427)
OGAA450,POINT(-101.0116369192113 41.44839402101697)
OGAA447,POINT(-98.38755425678326 40.58907271290851)
OGAA445,POINT(-102.7975518112283 42.52232519480471)
OGAA443,POINT(-99.15879747176896 41.15746656556305)
WIMB751,POINT(-88.76836198545223 45.83244090610159)
WIMB158,POINT(-88.96006240834033 43.83130165266977)
OGAA434,POINT(-98.85073612336417 41.9948088441537)
OGAA433,POINT(-96.58739997335897 41.04160562248057)
OGAA428,POINT(-96.68645740299661 40.18461320656591)
OGAA426,POINT(-98.55217906481941 40.51950965244381)
WIMB288,POINT(-90.00752387785363 45.0696559065706)
WIMB291,POINT(-89.90768427552568 45.59503603222704)
OGAA424,POINT(-102.8152230598707 41.01066319103414)
OGAA417,POINT(-96.71869361673039 40.71377263922577)
OGAA415,POINT(-97.88128203150393 40.98624845605811)
OGAA413,POINT(-96.85983356523792 41.03368427058152)
WIMB753,POINT(-89.51222869113778 45.84758785761797)
WIMB640,POINT(-89.68438000466 44.52936357231664)
OGAA411,POINT(-98.54867384501813 41.25269075520187)
OGAA409,POINT(-100.8867320536014 42.70101693289705)
OGAA407,POINT(-96.87440826634788 40.68232441351114)
OGAA403,POINT(-96.67419824257183 40.80598275192114)
WIMB527,POINT(-88.95666410098269 45.55953354568634)
WIMB474,POINT(-87.96770527434614 44.7600573313962)
OGAA399,POINT(-96.83494551828647 40.86204452868327)
OGAA397,POINT(-98.88429243918117 41.65850591043629)
OGAA395,POINT(-97.81401985169101 40.31881441681416)
OGAA394,POINT(-98.77532256001382 42.73132111582861)
WIMB042,POINT(-88.94549232350326 43.56083771055771)
WIMB718,POINT(-89.48186647248089 44.49667122729121)
OGAA390,POINT(-96.70490768104138 40.60406438151591)
OGAA008,POINT(-97.43734997480307 40.84703716339665)
OGAA012,POINT(-97.86787333423717 40.93506100832181)
OGAA462,POINT(-96.68678807958132 40.79501584612491)
WIMB708,POINT(-88.05503289048046 43.85297455110096)
WIMB174,POINT(-87.9946296583303 42.51504033564429)
OGAA017,POINT(-96.68449774746868 40.45291976080509)
OGAA020,POINT(-98.49682365022761 42.13613995212307)
OGAA022,POINT(-96.77866333729047 40.69529275816628)
OGAA023,POINT(-98.68704761511185 40.23022152128758)
WIMB734,POINT(-87.79050962777768 44.22303224202974)
WIMB184,POINT(-89.50566199062663 45.42058377052004)
OGAA024,POINT(-96.55692667652204 40.08382229126335)
OGAA026,POINT(-97.4876960438777 40.12033059508241)
OGAA028,POINT(-102.0792002047352 41.3104482895605)
OGAA040,POINT(-97.25473683157536 40.77329526973755)
WIMB149,POINT(-89.98939939235261 45.12850910386788)
WIMB309,POINT(-89.36685294133198 45.68696658243235)
OGAA042,POINT(-99.93184131801571 42.83861139562217)
OGAA043,POINT(-96.78319738786212 40.37748489151675)
OGAA044,POINT(-97.69719594693383 40.83089225431678)
OGAA046,POINT(-101.3833561860341 41.92960083764123)
WIMB766,POINT(-88.19794832898572 43.21325962418273)
WIMB273,POINT(-87.94912112778603 43.72012092128155)
OGAA060,POINT(-96.93858932930705 40.12556278691478)
OGAA061,POINT(-97.94885417699223 41.04974368007944)
OGAA064,POINT(-98.44838626867963 42.60712451496951)
OGAA066,POINT(-96.92374985823857 40.29412080333248)
WIMB423,POINT(-87.90768751577639 43.94326535405502)
WIMB041,POINT(-87.9453715665055 43.25408663601324)
OGAA070,POINT(-103.6458753443796 41.55940595253708)
OGAA074,POINT(-99.08764312173363 42.88961296809993)
OGAA076,POINT(-96.5875340368261 40.99613952980398)
OGAA465,POINT(-97.36780684611233 41.61895559122257)
WIMB072,POINT(-88.03369872846008 43.58902860949368)
WIMB125,POINT(-88.22653513086256 44.03639966839117)
OGAA078,POINT(-97.47981416651238 42.02380427657963)
WIMB280,POINT(-87.9126212537248 43.58817427685193)
WIMB073,POINT(-87.91886648395538 45.13316548705434)
ARKA007,POINT(-92.54961321922022 34.72164618910328)
CHIA028,POINT(-87.63827653320364 41.60035289221572)
CHIA026,POINT(-87.63584432851206 41.69471479787645)
CHIA779,POINT(-87.63681459996047 41.85233028981016)
OGAA081,POINT(-96.69765693824432 41.00456425423575)
OGAA082,POINT(-98.39247250447734 41.96174964122658)
OGAA094,POINT(-102.2624421371434 41.63824117196756)
OGAA098,POINT(-100.1256579977419 42.60014878651976)
WIMB636,POINT(-88.08932002870802 43.85060704005034)
WIMB476,POINT(-88.56527301340707 45.9917667989014)
OGAA099,POINT(-99.80464859825156 41.12437179899425)
OGAA100,POINT(-100.0092651024356 40.24514839587946)
OGAA101,POINT(-96.59296224541295 40.47206265365407)
OGAA103,POINT(-98.04960607672353 40.7242839361108)
WIMB583,POINT(-89.16171410233312 43.71059081458664)
WIMB327,POINT(-89.71869163209307 45.29411498185357)
OGAA108,POINT(-102.2413742748349 42.34078608670547)
OGAA111,POINT(-97.01348431623167 41.12819708475462)
OGAA114,POINT(-96.87981344462987 40.67778790116117)
OGAA117,POINT(-97.55788552020276 40.86237195164438)
HOUA179,POINT(-95.21437125049758 30.47897031129717)
OGAA120,POINT(-97.75244351354824 40.55264608824071)
OGAA121,POINT(-97.31094050516323 40.52445944016444)
OGAA123,POINT(-97.50784447365163 41.12891196646549)
OGAA124,POINT(-97.01140358610685 40.83067369381428)
HOUA177,POINT(-95.188803522614 30.29673197556826)
OGAA131,POINT(-97.8816541709791 40.89700939186369)
OGAA135,POINT(-97.25396907935595 40.93437595957901)
OGAA138,POINT(-97.58079864035194 41.05338783676461)
OGAA139,POINT(-100.8681815933016 41.95849326518461)
HOUA176,POINT(-95.38476944637112 29.97687392444918)
OGAA141,POINT(-97.13979948038234 40.80322090448588)
OGAA005,POINT(-97.44893916531021 40.05917929286679)
OGAA145,POINT(-100.3807047475608 42.5899505229749)
OGAA147,POINT(-96.74316266078681 40.95731044478331)
HOUA354,POINT(-95.19810815278626 29.56284829746078)
OGAA148,POINT(-96.80800866262209 40.22269645931854)
OGAA150,POINT(-97.31358417914149 40.72237047125893)
OGAA151,POINT(-99.6680996431968 42.26413077541034)
OGAA153,POINT(-100.4317312375024 42.17925678931051)
HOUA174,POINT(-95.52845319763372 29.9234283409017)
OGAA159,POINT(-102.0073584006761 41.14614757778517)
OGAA162,POINT(-97.11360321786381 41.02987373691307)
OGAA165,POINT(-99.60674126474574 41.82609362258755)
OGAA168,POINT(-97.55203315823664 41.86136248171218)
HOUA173,POINT(-95.57977154784639 30.37862287000999)
OGAA468,POINT(-100.505957426478 42.20787146240038)
OGAA179,POINT(-99.75112630275781 40.75752080404308)
OGAA182,POINT(-97.09877075370247 41.12423991175849)
CHIA778,POINT(-87.81379948263927 41.87345753131418)
HOUA172,POINT(-96.02006005634102 30.59329929769791)
HOUA171,POINT(-95.34141538035885 29.84418386762605)
HOUA170,POINT(-95.39087705683214 29.84657457296461)
HOUA148,POINT(-95.42174634353023 30.16645732930325)
HOUA353,POINT(-95.41293666336573 30.35422910563459)
HOUA352,POINT(-95.48719339748574 30.3619064433238)
OGAA183,POINT(-97.58475640955476 40.93884358599195)
OGAA187,POINT(-97.74589249476765 41.04920434622983)
OGAA188,POINT(-100.7812191179757 42.84166795543401)
OGAA190,POINT(-101.6618375185712 42.75077740537323)
HOUA350,POINT(-95.2783112847663 29.71113352136718)
OGAA191,POINT(-99.7161082881829 42.51647948950171)
OGAA198,POINT(-96.63712041095361 40.72690551730376)
OGAA203,POINT(-96.78287006912572 40.39118078238726)
OGAA204,POINT(-96.75001625442881 40.76992552118215)
HOUA349,POINT(-95.44966943442289 29.84625841891007)
OGAA205,POINT(-96.93102229491082 41.13463395887849)
OGAA206,POINT(-96.87404823421143 40.83461617193414)
OGAA210,POINT(-96.82333219044384 40.47241137210008)
OGAA211,POINT(-99.30090548913073 42.31950949036719)
HOUA348,POINT(-95.38946726877913 29.84169567166131)
OGAA212,POINT(-97.54379501053415 42.33181690250468)
OGAA213,POINT(-96.90266954057103 40.65302794109903)
OGAA471,POINT(-98.98950240613213 40.88389485256658)
OGAA215,POINT(-97.63324411355532 42.65135422617816)
HOUA418,POINT(-95.24053126516915 29.8707161049526)
OGAA219,POINT(-96.64163793142971 40.75496148571477)
OGAA221,POINT(-100.6654631648989 40.35687477214159)
OGAA222,POINT(-98.10169827398398 42.33441660949784)
OGAA225,POINT(-97.75139018688294 41.15226424480292)
HOUA417,POINT(-95.37590312383495 29.64445413569618)
OGAA231,POINT(-97.19595403458938 40.65190935515503)
OGAA232,POINT(-96.77791690877031 40.82332544087355)
OGAA233,POINT(-97.34222899243397 41.03111447815026)
OGAA239,POINT(-99.88566259234366 42.6239338336613)
HOUA416,POINT(-95.4434493604959 30.13551993027672)
OGAA241,POINT(-96.64895710063418 40.77454061380121)
OGAA472,POINT(-97.95733048032767 41.28293059314935)
OGAA245,POINT(-96.80489104901008 40.59556910387553)
OGAA475,POINT(-96.8552051866108 40.75317802700385)
HOUA415,POINT(-95.36056283722937 29.90929654213032)
OGAA248,POINT(-97.64679842799978 40.64321261224882)
OGAA476,POINT(-97.91955310906157 40.95593201367098)
OGAA252,POINT(-98.4136549901658 40.85027163415354)
OGAA254,POINT(-100.5152169873931 41.219466525986)
HOUA414,POINT(-95.2973313897933 30.05346381279492)
OGAA477,POINT(-98.34736623858399 42.21598280084335)
OGAA257,POINT(-96.6392778380056 40.85953628571647)
OGAA258,POINT(-96.68799221933477 40.78266385692948)
OGAA261,POINT(-99.93044330960032 41.70868494882526)
HOUA413,POINT(-95.30095479530601 30.51225382241639)
OGAA264,POINT(-101.538363340334 41.35424581378037)
OGAA266,POINT(-98.51376532063654 40.78580793003847)
OGAA267,POINT(-98.2519889853676 41.5439946387344)
OGAA270,POINT(-96.69327851276968 40.79549135288289)
HOUA412,POINT(-95.29882387910722 30.74968232520222)
OGAA274,POINT(-98.69290195543371 42.17644304012282)
CHIA701,POINT(-87.80473367453068 41.95802639881705)
CHIA700,POINT(-87.74286219963808 42.06464098082223)
CHIA104,POINT(-87.82354850380713 42.05930566816883)
HOUA440,POINT(-95.8177770644544 30.12302634031335)
CHIA106,POINT(-88.08117185155808 42.10176159865938)
OGAA275,POINT(-99.31708938765846 40.77805124337856)
OGAA277,POINT(-103.2507468516688 42.32444090629275)
OGAA279,POINT(-97.5178758162915 40.6653989368582)
OGAA280,POINT(-96.68492700794008 40.7520006069234)
HOUA439,POINT(-95.30026423490982 30.51844903151685)
OGAA281,POINT(-100.9987705941822 42.63891196202898)
OGAA282,POINT(-99.04906798729391 40.54489538416823)
OGAA283,POINT(-103.3638152140162 41.66456591645287)
OGAA289,POINT(-100.3794184956159 41.62570279565682)
HOUA438,POINT(-95.04530246275424 29.57720314055176)
OGAA291,POINT(-103.5664269924362 41.25315386015951)
OGAA294,POINT(-96.54958415705586 40.47251241933587)
OGAA272,POINT(-101.2246779916002 41.49333559572008)
OGAA375,POINT(-100.6548305794548 41.50013859026389)
HOUA437,POINT(-95.32230551765846 29.78856715545369)
OGAA025,POINT(-103.1335915077178 42.30868816166718)
OGAA376,POINT(-100.9176539328637 42.08961628797265)
OGAA104,POINT(-98.7410758749855 40.67894068798882)
OGAA175,POINT(-99.33708254975852 40.02275684930108)
OGAA152,POINT(-100.9542005685258 40.44822587000174)
OGAA216,POINT(-102.069886342869 41.38840546351245)
HOUA436,POINT(-95.68100527745082 30.19947307086209)
OGAA451,POINT(-100.987529647415 41.54268328697776)
OGAA006,POINT(-99.93022569872562 41.8804971372473)
OGAA077,POINT(-100.9291385925273 41.21446896170828)
CHIA107,POINT(-87.80341127228075 41.86487449473855)
OGAA063,POINT(-99.95563982349042 42.41507599145535)
OGAA469,POINT(-100.4255597129901 41.88980132682457)
OGAA226,POINT(-97.96669689221122 42.00412903248339)
OGAA278,POINT(-100.1864930585524 41.62607297338258)
HOUA435,POINT(-95.29721718921986 30.80956870770299)
OGAA056,POINT(-99.84205231624432 42.00575826787852)
OGAA184,POINT(-96.54722994986338 40.36027449307809)
OGAA437,POINT(-103.5656432551972 41.704962973156)
OGAA107,POINT(-101.0523910039971 41.56432905496676)
HOUA434,POINT(-94.97327158565014 29.85527389499331)
OGAA392,POINT(-102.5141199785465 41.91161238795247)
OGAA236,POINT(-101.5213339605664 41.96501371681202)
OGAA402,POINT(-100.1146659674593 40.09902000345016)
OGAA367,POINT(-97.76955011360315 42.01983839778391)
HOUA433,POINT(-95.60876938687615 30.03568646897029)
OGAA308,POINT(-98.93035013937005 40.42308502814068)
OGAA307,POINT(-97.60104394303055 41.95787846530673)
OGAA246,POINT(-98.00143892917151 41.3215529369597)
OGAA039,POINT(-99.82391872706118 42.38221196501333)
HOUA589,POINT(-95.84876949537406 30.79868700661852)
OGAA356,POINT(-97.55169692523184 41.91733798650527)
OGAA110,POINT(-98.04644863879307 40.3181250448119)
OGAA381,POINT(-98.51803681569407 41.91191026537107)
OGAA405,POINT(-98.34826318045637 41.31707943464051)
HOUA490,POINT(-95.44770291051503 29.87375936432555)
OGAA422,POINT(-97.60075169260365 42.09643307601554)
OGAA372,POINT(-97.43965646292617 41.28662270798043)
OGAA238,POINT(-97.8025130846353 41.89620657226838)
OGAA035,POINT(-103.3807402776212 42.74926057709317)
HOUA489,POINT(-95.14494876997041 30.14251116249173)
OGAA438,POINT(-100.0588663626836 40.95624035127732)
OGAA454,POINT(-97.60316158960737 41.9194877292014)
OGAA102,POINT(-103.3611018461727 41.43023713298205)
OGAA418,POINT(-98.72032624877039 42.34372726522437)
HOUA488,POINT(-95.39781231953341 29.78517898053686)
OGAA116,POINT(-97.99018086186949 41.31093798739548)
OGAA234,POINT(-97.67633765290665 41.49613955851095)
OGAA172,POINT(-97.89220844798872 41.29397254891535)
OGAA069,POINT(-98.43750884761943 41.86650702382629)
HOUA487,POINT(-95.47263992622206 30.01337738177342)
OGAA169,POINT(-97.95025126296684 41.23484040829885)
OGAA105,POINT(-98.2386138037125 41.4001930295643)
OGAA189,POINT(-97.82861387676344 40.06194390016771)
OGAA125,POINT(-96.93880075112645 40.56144742028908)
OGAA292,POINT(-103.8090640905504 42.95631197671334)
OGAA425,POINT(-97.98931367384135 40.31862561048906)
HOUA486,POINT(-95.39404826262918 29.85734464874559)
OGAA369,POINT(-101.5384213570719 41.08410247202667)
OGAA442,POINT(-97.69724825272861 40.32533567398927)
OGAA001,POINT(-101.5520302483109 41.21983745804693)
OGAA311,POINT(-99.41191816464048 40.51240470552197)
HOUA378,POINT(-95.84964904280065 29.79782703649678)
OGAA016,POINT(-100.2395135489125 40.18114025752161)
OGAA309,POINT(-96.81903521353364 40.85113686153274)
OGAA427,POINT(-102.7204784615042 42.63340331413504)
OGAA456,POINT(-99.03591322049287 41.0048722846886)
OGAA149,POINT(-99.40873950139985 41.34489454548092)
OGAA288,POINT(-100.4207489107246 41.89586913531493)
OGAA227,POINT(-98.35286100577086 40.13489870301548)
OGAA412,POINT(-98.79018520198485 41.90876739654725)
HOUA377,POINT(-95.96627871982041 29.92082701401289)
OGAA170,POINT(-98.13284455748993 40.94371827502737)
OGAA033,POINT(-98.57901049526474 41.73645273551423)
OGAA253,POINT(-98.31816472714165 42.03331288293469)
OGAA346,POINT(-98.81574722898404 40.67158326192214)
OGAA461,POINT(-96.56376387002304 40.09483117395168)
OGAA244,POINT(-99.33526511130597 42.51667640462281)
OGAA223,POINT(-100.1306044488555 40.72283660459993)
OGAA269,POINT(-101.3013971515111 40.35119415463907)
HOUA376,POINT(-95.98035091154482 30.38015603290918)
OGAA195,POINT(-100.6959466587142 40.57832847391659)
OGAA045,POINT(-98.976485093628 41.68683227004826)
OGAA180,POINT(-97.60325951413927 41.49135163125484)
OGAA090,POINT(-101.472391765977 40.87977178137805)
OGAA319,POINT(-98.50001499305213 41.57534500755282)
OGAA132,POINT(-98.87146213043013 40.94335197377077)
OGAA075,POINT(-99.09448591734339 40.91059528294891)
OGAA314,POINT(-97.68829328042266 41.35979863405313)
HOUA574,POINT(-95.18614142321324 29.84010295273064)
OGAA119,POINT(-97.70478039635604 41.17305125248913)
OGAA449,POINT(-98.18210041108375 40.40980912138365)
OGAA071,POINT(-98.20300737644187 41.99583829055629)
OGAA340,POINT(-99.31253527162508 41.06552845713178)
OGAA207,POINT(-101.1552209725841 42.50891336844473)
OGAA336,POINT(-97.8363281858355 40.16594897266273)
OGAA318,POINT(-97.13746690488937 40.72153242153765)
OGAA386,POINT(-104.0072631156765 41.82061689623842)
HOUA364,POINT(-95.4733248191122 30.01833208601489)
OGAA084,POINT(-100.0658310009795 42.84656298547885)
OGAA200,POINT(-103.9125059285455 42.55840640459584)
OGAA408,POINT(-99.50354704666063 42.45570816373085)
OGAA348,POINT(-98.39056679857133 41.01522491668387)
OGAA134,POINT(-102.544639067578 41.14522372095378)
